lsoa11cd,measure,value
E01008881,2008,338
E01008882,2008,274
E01008883,2008,248
E01008884,2008,188
E01008885,2008,246
E01008886,2008,329
E01008887,2008,242
E01008888,2008,282
E01008889,2008,325
E01008890,2008,264
E01008891,2008,308
E01008892,2008,189
E01008893,2008,245
E01008894,2008,407
E01008895,2008,210
E01008896,2008,242
E01008897,2008,263
E01008898,2008,227
E01008899,2008,189
E01008901,2008,220
E01008905,2008,122
E01008906,2008,152
E01008907,2008,191
E01008909,2008,121
E01008910,2008,152
E01008911,2008,115
E01008913,2008,180
E01008914,2008,160
E01008915,2008,181
E01008916,2008,113
E01008917,2008,248
E01008918,2008,365
E01008919,2008,341
E01008920,2008,299
E01008921,2008,293
E01008923,2008,306
E01008924,2008,328
E01008925,2008,263
E01008927,2008,279
E01008928,2008,369
E01008929,2008,331
E01008930,2008,170
E01008931,2008,280
E01008932,2008,299
E01008933,2008,262
E01008934,2008,370
E01008935,2008,317
E01008936,2008,389
E01008937,2008,340
E01008938,2008,247
E01008939,2008,300
E01008940,2008,350
E01008941,2008,307
E01008942,2008,242
E01008943,2008,263
E01008944,2008,322
E01008945,2008,285
E01008946,2008,370
E01008947,2008,294
E01008948,2008,380
E01008949,2008,292
E01008950,2008,460
E01008951,2008,276
E01008952,2008,178
E01008953,2008,259
E01008954,2008,414
E01008955,2008,242
E01008956,2008,341
E01008957,2008,177
E01008958,2008,502
E01008959,2008,535
E01008960,2008,208
E01008961,2008,354
E01008962,2008,286
E01008963,2008,237
E01008964,2008,338
E01008965,2008,284
E01008966,2008,291
E01008967,2008,423
E01008968,2008,396
E01008969,2008,327
E01008970,2008,270
E01008971,2008,327
E01008972,2008,304
E01008973,2008,383
E01008974,2008,338
E01008975,2008,371
E01008976,2008,388
E01008977,2008,271
E01008978,2008,313
E01008979,2008,390
E01008980,2008,342
E01008981,2008,386
E01008982,2008,185
E01008984,2008,274
E01008986,2008,218
E01008987,2008,205
E01008988,2008,168
E01008989,2008,305
E01008990,2008,221
E01008991,2008,452
E01008992,2008,247
E01008994,2008,315
E01008995,2008,252
E01008996,2008,267
E01008997,2008,270
E01008998,2008,247
E01008999,2008,242
E01009000,2008,306
E01009001,2008,333
E01009002,2008,246
E01009003,2008,476
E01009005,2008,368
