lsoa11cd,n_tot,cluster,cluster_prop
E01008881,221,1,0.40271493212669685
E01008881,221,2,0.14479638009049775
E01008881,221,3,0.1085972850678733
E01008881,221,4,0.11312217194570136
E01008881,221,5,0.06334841628959276
E01008881,221,6,0.167420814479638
E01008882,169,1,0.3905325443786982
E01008882,169,2,0.10059171597633136
E01008882,169,3,0.08284023668639054
E01008882,169,4,0.1301775147928994
E01008882,169,5,0.11834319526627218
E01008882,169,6,0.17751479289940827
E01008883,181,1,0.4861878453038674
E01008883,181,2,0.11602209944751381
E01008883,181,3,0.0718232044198895
E01008883,181,4,0.08839779005524862
E01008883,181,5,0.09392265193370165
E01008883,181,6,0.143646408839779
E01008884,123,1,0.3170731707317073
E01008884,123,2,0.13821138211382114
E01008884,123,3,0.08943089430894309
E01008884,123,4,0.13821138211382114
E01008884,123,5,0.12195121951219512
E01008884,123,6,0.1951219512195122
E01008885,169,1,0.5325443786982249
E01008885,169,2,0.1834319526627219
E01008885,169,3,0.08875739644970414
E01008885,169,4,0.07692307692307693
E01008885,169,6,0.11834319526627218
E01008886,227,1,0.40969162995594716
E01008886,227,2,0.19823788546255505
E01008886,227,3,0.07488986784140969
E01008886,227,4,0.08370044052863436
E01008886,227,5,0.07048458149779736
E01008886,227,6,0.16299559471365638
E01008887,169,1,0.4556213017751479
E01008887,169,2,0.1301775147928994
E01008887,169,3,0.09467455621301775
E01008887,169,4,0.11242603550295859
E01008887,169,5,0.0650887573964497
E01008887,169,6,0.14201183431952663
E01008888,214,1,0.48130841121495327
E01008888,214,2,0.19158878504672897
E01008888,214,3,0.1588785046728972
E01008888,214,6,0.16822429906542055
E01008889,249,1,0.4939759036144578
E01008889,249,2,0.17670682730923695
E01008889,249,3,0.11646586345381527
E01008889,249,4,0.08835341365461848
E01008889,249,6,0.12449799196787148
E01008890,169,1,0.4378698224852071
E01008890,169,2,0.14201183431952663
E01008890,169,3,0.07692307692307693
E01008890,169,4,0.1242603550295858
E01008890,169,5,0.07100591715976332
E01008890,169,6,0.14792899408284024
E01008891,262,1,0.583969465648855
E01008891,262,2,0.16030534351145037
E01008891,262,3,0.08778625954198473
E01008891,262,5,0.04580152671755725
E01008891,262,6,0.12213740458015267
E01008892,106,1,0.5566037735849056
E01008892,106,2,0.2641509433962264
E01008892,106,6,0.1792452830188679
E01008893,160,1,0.6
E01008893,160,2,0.175
E01008893,160,4,0.075
E01008893,160,6,0.15
E01008894,244,1,0.47540983606557374
E01008894,244,2,0.20081967213114754
E01008894,244,3,0.07377049180327869
E01008894,244,4,0.09016393442622951
E01008894,244,5,0.045081967213114756
E01008894,244,6,0.11475409836065574
E01008895,148,1,0.5405405405405406
E01008895,148,2,0.17567567567567569
E01008895,148,3,0.08783783783783784
E01008895,148,4,0.07432432432432433
E01008895,148,6,0.12162162162162163
E01008896,130,1,0.46923076923076923
E01008896,130,2,0.1076923076923077
E01008896,130,3,0.1076923076923077
E01008896,130,4,0.12307692307692308
E01008896,130,6,0.19230769230769232
E01008897,250,1,0.524
E01008897,250,2,0.12
E01008897,250,3,0.088
E01008897,250,4,0.084
E01008897,250,5,0.06
E01008897,250,6,0.124
E01008898,134,1,0.4253731343283582
E01008898,134,3,0.08208955223880597
E01008898,134,4,0.14925373134328357
E01008898,134,5,0.09701492537313433
E01008898,134,6,0.2462686567164179
E01008899,83,1,0.6024096385542169
E01008899,83,3,0.14457831325301204
E01008899,83,6,0.25301204819277107
E01008901,163,1,0.4233128834355828
E01008901,163,2,0.0736196319018405
E01008901,163,3,0.09815950920245399
E01008901,163,4,0.09202453987730061
E01008901,163,5,0.08588957055214724
E01008901,163,6,0.22699386503067484
E01008905,87,1,0.7011494252873564
E01008905,87,6,0.2988505747126437
E01008906,75,1,0.49333333333333335
E01008906,75,5,0.14666666666666667
E01008906,75,6,0.36
E01008907,106,1,0.44339622641509435
E01008907,106,2,0.11320754716981132
E01008907,106,3,0.11320754716981132
E01008907,106,4,0.1509433962264151
E01008907,106,6,0.1792452830188679
E01008909,57,1,0.5614035087719298
E01008909,57,6,0.43859649122807015
E01008910,78,1,0.3974358974358974
E01008910,78,2,0.14102564102564102
E01008910,78,4,0.21794871794871795
E01008910,78,6,0.24358974358974358
E01008911,36,1,0.6111111111111112
E01008911,36,6,0.3888888888888889
E01008913,165,1,0.3212121212121212
E01008913,165,2,0.10909090909090909
E01008913,165,4,0.15757575757575756
E01008913,165,5,0.12727272727272726
E01008913,165,6,0.28484848484848485
E01008914,63,1,0.5079365079365079
E01008914,63,4,0.1746031746031746
