year,month,orig,dest,count
2015,8,E01008881,E01008881,37
2015,8,E01008881,E01008886,43
2015,8,E01008881,E01008887,17
2015,8,E01008881,E01009013,17
2015,8,E01008881,E01009018,51
2015,8,E01008881,E01009095,11
2015,8,E01008881,E01009299,14
2015,8,E01008881,E01009332,12
2015,8,E01008881,E01009481,32
2015,8,E01008881,E01009515,20
2015,8,E01008881,E01009521,11
2015,8,E01008881,E01010192,27
2015,8,E01008881,E01033620,28
2015,8,E01008883,E01008884,15
2015,8,E01008883,E01008886,14
2015,8,E01008883,E01008887,15
2015,8,E01008883,E01009315,16
2015,8,E01008883,E01009329,12
2015,8,E01008883,E01009335,12
2015,8,E01008883,E01010192,22
2015,8,E01008883,E01033620,43
2015,8,E01008884,E01008883,11
2015,8,E01008884,E01008884,31
2015,8,E01008884,E01008886,67
2015,8,E01008884,E01008887,44
2015,8,E01008884,E01009313,11
2015,8,E01008884,E01009315,25
2015,8,E01008884,E01009329,32
2015,8,E01008884,E01009332,14
2015,8,E01008884,E01009335,38
2015,8,E01008884,E01009364,10
2015,8,E01008884,E01009379,32
2015,8,E01008884,E01009380,14
2015,8,E01008884,E01010192,31
2015,8,E01008884,E01033561,17
2015,8,E01008884,E01033615,11
2015,8,E01008884,E01033620,93
2015,8,E01008885,E01008884,14
2015,8,E01008885,E01008886,34
2015,8,E01008885,E01008887,11
2015,8,E01008885,E01009329,13
2015,8,E01008885,E01009335,25
2015,8,E01008885,E01009337,18
2015,8,E01008885,E01009378,10
2015,8,E01008885,E01009379,10
2015,8,E01008885,E01033615,14
2015,8,E01008885,E01033620,106
2015,8,E01008886,E01008881,42
2015,8,E01008886,E01008884,36
2015,8,E01008886,E01008886,33
2015,8,E01008886,E01008887,14
2015,8,E01008886,E01009018,43
2015,8,E01008886,E01009313,33
2015,8,E01008886,E01009315,99
2015,8,E01008886,E01009316,35
2015,8,E01008886,E01009319,10
2015,8,E01008886,E01009320,21
2015,8,E01008886,E01009329,23
2015,8,E01008886,E01009335,35
2015,8,E01008886,E01009337,14
2015,8,E01008886,E01009378,15
2015,8,E01008886,E01009379,11
2015,8,E01008886,E01009638,25
2015,8,E01008886,E01010109,22
2015,8,E01008886,E01010133,23
2015,8,E01008886,E01010192,110
2015,8,E01008886,E01010226,29
2015,8,E01008886,E01033561,27
2015,8,E01008886,E01033615,18
2015,8,E01008886,E01033620,129
2015,8,E01008887,E01008881,15
2015,8,E01008887,E01008884,16
2015,8,E01008887,E01008886,15
2015,8,E01008887,E01009018,42
2015,8,E01008887,E01009313,13
2015,8,E01008887,E01009315,47
2015,8,E01008887,E01009316,15
2015,8,E01008887,E01009320,10
2015,8,E01008887,E01009329,19
2015,8,E01008887,E01009335,21
2015,8,E01008887,E01009337,13
2015,8,E01008887,E01009379,12
2015,8,E01008887,E01010109,20
2015,8,E01008887,E01010133,10
2015,8,E01008887,E01010192,59
2015,8,E01008887,E01010226,13
2015,8,E01008887,E01033620,39
2015,8,E01008888,E01008885,11
2015,8,E01008888,E01008886,42
2015,8,E01008888,E01008887,17
2015,8,E01008888,E01010192,43
2015,8,E01008888,E01033620,81
2015,8,E01008889,E01008889,15
2015,8,E01008889,E01008894,111
2015,8,E01008889,E01010192,51
2015,8,E01008889,E01010226,59
2015,8,E01008890,E01009018,25
2015,8,E01008891,E01008886,15
2015,8,E01008891,E01010192,117
2015,8,E01008891,E01010226,20
2015,8,E01008891,E01033620,15
2015,8,E01008894,E01008881,11
2015,8,E01008894,E01008886,16
2015,8,E01008894,E01008894,70
2015,8,E01008894,E01010177,20
2015,8,E01008894,E01010178,38
2015,8,E01008894,E01010192,255
2015,8,E01008894,E01010226,161
2015,8,E01008894,E01010229,13
2015,8,E01008898,E01008881,21
2015,8,E01008898,E01008898,19
2015,8,E01008898,E01009521,27
2015,8,E01008898,E01033615,13
2015,8,E01008898,E01033620,19
2015,8,E01008899,E01009410,11
2015,8,E01008901,E01008901,19
2015,8,E01008901,E01009007,28
2015,8,E01008901,E01009053,18
2015,8,E01008901,E01009101,11
2015,8,E01008901,E01009242,47
2015,8,E01008901,E01009406,11
2015,8,E01008901,E01009410,10
2015,8,E01008901,E01033620,50
2015,8,E01008905,E01009047,11
2015,8,E01008905,E01009051,23
2015,8,E01008905,E01009242,63
2015,8,E01008907,E01008914,12
2015,8,E01008907,E01009378,11
2015,8,E01008907,E01033561,37
2015,8,E01008907,E01033615,111
2015,8,E01008907,E01033617,83
2015,8,E01008907,E01033620,56
2015,8,E01008907,E01033638,16
2015,8,E01008909,E01008914,21
2015,8,E01008909,E01009051,10
2015,8,E01008909,E01009242,29
2015,8,E01008909,E01033615,11
2015,8,E01008909,E01033620,65
2015,8,E01008910,E01008913,22
2015,8,E01008910,E01033561,32
2015,8,E01008910,E01033620,43
2015,8,E01008911,E01008905,10
2015,8,E01008911,E01009242,21
2015,8,E01008911,E01033620,14
2015,8,E01008911,E01033628,12
2015,8,E01008913,E01008913,25
2015,8,E01008913,E01008914,30
2015,8,E01008913,E01009053,13
2015,8,E01008913,E01009123,12
2015,8,E01008913,E01009232,14
2015,8,E01008913,E01009239,16
2015,8,E01008913,E01009242,50
2015,8,E01008913,E01033615,12
2015,8,E01008913,E01033617,12
2015,8,E01008913,E01033620,125
2015,8,E01008913,E01033628,26
2015,8,E01008914,E01008914,21
2015,8,E01008914,E01009242,22
2015,8,E01008914,E01033561,27
2015,8,E01008914,E01033615,54
2015,8,E01008914,E01033617,35
2015,8,E01008914,E01033620,85
2015,8,E01008914,E01033628,30
2015,8,E01008915,E01008913,11
2015,8,E01008915,E01008916,12
2015,8,E01008915,E01009051,21
2015,8,E01008915,E01009053,12
2015,8,E01008915,E01033620,35
2015,8,E01008915,E01033636,12
2015,8,E01008916,E01008913,24
2015,8,E01008916,E01008914,15
2015,8,E01008916,E01009061,11
2015,8,E01008916,E01033620,76
2015,8,E01008916,E01033628,12
2015,8,E01008916,E01033636,23
2015,8,E01008917,E01008992,21
2015,8,E01008917,E01009068,11
2015,8,E01008917,E01009069,16
2015,8,E01008917,E01033620,48
2015,8,E01008918,E01008918,12
2015,8,E01008918,E01008919,11
2015,8,E01008918,E01008923,17
2015,8,E01008918,E01008990,10
2015,8,E01008918,E01008992,65
2015,8,E01008918,E01008994,13
2015,8,E01008918,E01009068,61
2015,8,E01008918,E01009069,172
2015,8,E01008918,E01009219,10
2015,8,E01008918,E01033617,12
