date,year,month,season,temp_mean_c,temp_max_c,temp_min_c,precip_total_mm,wind_max_kmh,dominant_weather,storm_hours
2023-01-01,2023,1,winter,8.0,9.6,6.8,1.4,29.2,cloudy,0
2023-01-02,2023,1,winter,4.2,6.6,0.9,0.1,15.2,sunny,0
2023-01-03,2023,1,winter,6.8,11.5,0.9,1.7,32.1,light_rain,0
2023-01-04,2023,1,winter,10.8,12.1,9.4,2.5,33.1,cloudy,0
2023-01-05,2023,1,winter,9.8,11.6,7.9,0.1,33.0,cloudy,0
2023-01-06,2023,1,winter,8.0,10.9,5.7,4.8,31.0,cloudy,0
2023-01-07,2023,1,winter,9.1,10.8,6.2,12.5,35.9,light_rain,0
2023-01-08,2023,1,winter,5.6,7.2,3.0,1.5,30.6,cloudy,0
2023-01-09,2023,1,winter,4.8,6.4,3.0,0.0,25.7,sunny,0
2023-01-10,2023,1,winter,7.8,11.7,3.2,9.3,35.7,cloudy,0
2023-01-11,2023,1,winter,6.9,8.7,5.7,4.4,31.3,sunny,0
2023-01-12,2023,1,winter,9.2,10.9,6.2,9.7,34.9,light_rain,0
2023-01-13,2023,1,winter,6.2,8.4,4.9,0.4,30.9,cloudy,0
2023-01-14,2023,1,winter,7.0,10.6,3.5,8.4,35.7,light_rain,0
2023-01-15,2023,1,winter,3.6,5.9,1.0,0.3,30.9,cloudy,0
2023-01-16,2023,1,winter,0.1,2.7,-2.9,0.1,25.3,cloudy,0
2023-01-17,2023,1,winter,-1.7,1.9,-3.6,0.0,15.1,sunny,0
2023-01-18,2023,1,winter,0.6,4.1,-2.2,0.0,20.3,cloudy,0
2023-01-19,2023,1,winter,0.4,3.6,-1.4,0.1,20.1,sunny,0
2023-01-20,2023,1,winter,1.5,5.2,-1.8,0.0,19.1,sunny,0
2023-01-21,2023,1,winter,-0.2,2.8,-2.7,0.0,12.0,cloudy,0
2023-01-22,2023,1,winter,-0.2,3.3,-2.2,0.0,15.6,cloudy,0
2023-01-23,2023,1,winter,0.9,3.8,-0.9,0.0,10.7,cloudy,0
2023-01-24,2023,1,winter,0.1,4.3,-2.0,0.0,8.2,sunny,0
2023-01-25,2023,1,winter,3.9,8.1,1.4,0.3,22.5,cloudy,0
2023-01-26,2023,1,winter,3.2,6.8,0.8,0.0,22.2,sunny,0
2023-01-27,2023,1,winter,2.4,4.7,-0.2,0.0,13.2,cloudy,0
2023-01-28,2023,1,winter,2.9,6.3,0.2,0.0,14.0,cloudy,0
2023-01-29,2023,1,winter,5.2,7.9,3.4,0.0,22.7,cloudy,0
2023-01-30,2023,1,winter,5.7,8.5,2.8,0.3,25.8,cloudy,0
2023-01-31,2023,1,winter,6.7,9.4,3.8,0.0,29.0,cloudy,0
2023-02-01,2023,2,winter,6.6,9.1,4.4,0.0,28.6,cloudy,0
2023-02-02,2023,2,winter,8.0,10.5,5.3,0.0,29.9,cloudy,0
2023-02-03,2023,2,winter,9.4,11.6,8.3,0.0,25.8,cloudy,0
2023-02-04,2023,2,winter,7.8,9.1,6.9,0.1,19.4,cloudy,0
2023-02-05,2023,2,winter,3.1,6.6,-0.5,0.0,20.8,cloudy,0
2023-02-06,2023,2,winter,1.3,5.9,-1.7,0.0,12.0,sunny,0
2023-02-07,2023,2,winter,1.2,6.9,-2.4,0.0,8.7,sunny,0
2023-02-08,2023,2,winter,1.2,5.1,-1.5,0.0,20.1,cloudy,0
2023-02-09,2023,2,winter,3.7,7.2,1.4,0.0,16.5,cloudy,0
2023-02-10,2023,2,winter,3.9,8.1,0.1,0.0,19.8,cloudy,0
2023-02-11,2023,2,winter,7.5,10.1,5.1,0.0,15.3,cloudy,0
2023-02-12,2023,2,winter,6.3,8.3,4.3,0.0,13.1,cloudy,0
2023-02-13,2023,2,winter,5.8,9.1,3.3,0.0,15.8,sunny,0
2023-02-14,2023,2,winter,5.6,10.8,1.8,0.0,16.2,sunny,0
2023-02-15,2023,2,winter,6.2,11.2,2.5,0.2,24.7,cloudy,0
2023-02-16,2023,2,winter,8.6,11.9,4.7,1.5,23.6,cloudy,0
2023-02-17,2023,2,winter,11.3,13.8,9.1,0.2,37.1,cloudy,0
2023-02-18,2023,2,winter,10.6,12.8,8.5,1.0,31.4,cloudy,0
2023-02-19,2023,2,winter,8.3,11.4,5.9,0.0,23.1,cloudy,0
2023-02-20,2023,2,winter,9.5,12.1,6.5,0.0,32.1,cloudy,0
2023-02-21,2023,2,winter,8.2,9.8,7.0,0.7,15.8,cloudy,0
2023-02-22,2023,2,winter,6.0,8.1,4.5,1.1,18.4,cloudy,0
2023-02-23,2023,2,winter,4.3,6.9,0.3,1.0,24.0,cloudy,0
2023-02-24,2023,2,winter,5.4,9.3,0.2,2.3,23.2,cloudy,0
2023-02-25,2023,2,winter,2.8,5.5,0.2,0.1,25.3,sunny,0
2023-02-26,2023,2,winter,3.1,6.8,0.2,0.2,23.3,sunny,0
2023-02-27,2023,2,winter,3.8,6.2,-0.7,0.5,20.8,cloudy,0
2023-02-28,2023,2,winter,4.8,6.8,2.5,1.7,21.6,cloudy,0
2023-03-01,2023,3,spring,4.8,5.9,4.0,2.5,22.9,light_rain,0
2023-03-02,2023,3,spring,4.1,6.0,1.6,0.1,16.2,cloudy,0
2023-03-03,2023,3,spring,3.8,5.1,2.6,0.0,15.3,cloudy,0
2023-03-04,2023,3,spring,3.2,5.3,-0.1,0.0,12.6,cloudy,0
2023-03-05,2023,3,spring,1.9,4.5,-1.5,0.4,15.8,cloudy,0
2023-03-06,2023,3,spring,4.1,7.3,0.6,4.4,21.6,light_rain,0
2023-03-07,2023,3,spring,1.6,4.3,-2.2,2.1,13.8,light_rain,0
2023-03-08,2023,3,spring,0.1,2.0,-4.0,5.8,24.5,cloudy,0
2023-03-09,2023,3,spring,0.5,1.1,-0.3,11.0,23.1,light_rain,0
2023-03-10,2023,3,spring,1.4,4.2,-2.3,8.8,31.4,light_rain,0
2023-03-11,2023,3,spring,0.8,5.3,-4.0,2.9,20.1,cloudy,0
2023-03-12,2023,3,spring,8.4,11.9,3.8,5.3,29.5,cloudy,0
2023-03-13,2023,3,spring,10.3,12.2,7.4,5.3,43.6,light_rain,0
2023-03-14,2023,3,spring,4.2,7.2,0.6,2.8,25.7,light_rain,0
2023-03-15,2023,3,spring,2.6,6.6,-2.8,2.9,21.9,cloudy,0
