date,year,month,day,hour,season,temperature_c,precipitation_mm,wind_kmh,wmo_code,weather_type,is_storm
2023-01-01,2023,1,1,0,winter,9.1,0.1,24.7,51,light_rain,0
2023-01-01,2023,1,1,1,winter,8.7,0.0,28.2,2,cloudy,0
2023-01-01,2023,1,1,2,winter,8.5,0.0,29.2,3,cloudy,0
2023-01-01,2023,1,1,3,winter,8.0,0.0,27.3,3,cloudy,0
2023-01-01,2023,1,1,4,winter,7.3,0.0,25.5,1,sunny,0
2023-01-01,2023,1,1,5,winter,7.1,0.0,26.1,2,cloudy,0
2023-01-01,2023,1,1,6,winter,7.1,0.0,27.6,2,cloudy,0
2023-01-01,2023,1,1,7,winter,7.0,0.0,25.9,1,sunny,0
2023-01-01,2023,1,1,8,winter,6.9,0.0,26.0,2,cloudy,0
2023-01-01,2023,1,1,9,winter,7.3,0.0,27.3,3,cloudy,0
2023-01-01,2023,1,1,10,winter,7.7,0.0,26.4,2,cloudy,0
2023-01-01,2023,1,1,11,winter,8.2,0.0,26.3,3,cloudy,0
2023-01-01,2023,1,1,12,winter,8.7,0.0,26.1,3,cloudy,0
2023-01-01,2023,1,1,13,winter,9.3,0.0,25.0,3,cloudy,0
2023-01-01,2023,1,1,14,winter,9.5,0.0,22.4,3,cloudy,0
2023-01-01,2023,1,1,15,winter,9.6,0.0,23.2,3,cloudy,0
2023-01-01,2023,1,1,16,winter,9.3,0.0,21.3,3,cloudy,0
2023-01-01,2023,1,1,17,winter,8.5,0.0,19.0,3,cloudy,0
2023-01-01,2023,1,1,18,winter,7.9,0.0,15.6,3,cloudy,0
2023-01-01,2023,1,1,19,winter,7.6,0.2,15.4,51,light_rain,0
2023-01-01,2023,1,1,20,winter,7.2,0.3,18.3,51,light_rain,0
2023-01-01,2023,1,1,21,winter,6.8,0.3,17.0,51,light_rain,0
2023-01-01,2023,1,1,22,winter,6.9,0.3,16.3,51,light_rain,0
2023-01-01,2023,1,1,23,winter,6.8,0.2,15.7,51,light_rain,0
2023-01-02,2023,1,2,0,winter,6.6,0.1,15.0,51,light_rain,0
2023-01-02,2023,1,2,1,winter,6.3,0.0,15.2,3,cloudy,0
2023-01-02,2023,1,2,2,winter,6.1,0.0,15.0,3,cloudy,0
2023-01-02,2023,1,2,3,winter,6.1,0.0,14.8,3,cloudy,0
2023-01-02,2023,1,2,4,winter,5.7,0.0,14.6,3,cloudy,0
2023-01-02,2023,1,2,5,winter,5.5,0.0,12.5,3,cloudy,0
2023-01-02,2023,1,2,6,winter,5.3,0.0,11.4,1,sunny,0
2023-01-02,2023,1,2,7,winter,4.2,0.0,9.2,1,sunny,0
2023-01-02,2023,1,2,8,winter,3.0,0.0,8.6,1,sunny,0
2023-01-02,2023,1,2,9,winter,2.8,0.0,10.1,2,cloudy,0
2023-01-02,2023,1,2,10,winter,2.5,0.0,8.6,0,sunny,0
2023-01-02,2023,1,2,11,winter,3.5,0.0,10.1,1,sunny,0
2023-01-02,2023,1,2,12,winter,4.6,0.0,8.4,0,sunny,0
2023-01-02,2023,1,2,13,winter,5.8,0.0,8.9,0,sunny,0
2023-01-02,2023,1,2,14,winter,6.2,0.0,9.7,0,sunny,0
2023-01-02,2023,1,2,15,winter,6.2,0.0,11.4,1,sunny,0
2023-01-02,2023,1,2,16,winter,5.5,0.0,9.4,1,sunny,0
2023-01-02,2023,1,2,17,winter,3.8,0.0,6.4,0,sunny,0
2023-01-02,2023,1,2,18,winter,2.8,0.0,7.4,0,sunny,0
2023-01-02,2023,1,2,19,winter,2.3,0.0,7.8,0,sunny,0
2023-01-02,2023,1,2,20,winter,1.9,0.0,8.0,0,sunny,0
